Report Generated on: *01 ноября 2023 (среда)*

-----------------------------------Memory Audit Script----------------------------------------

---------------------------General and Virtual Memory Overview -------------------------------


Memory Overview:
------------------------------------Memory Usage----------------------------------------------

  PID USER             %MEM      VSZ    RSS
19185 root              0.2 408318752  36384
19195 _driverkit        0.0 408497920    816
19557 _trustd           0.1 408279136  13728
19570 somaiyahsultani   0.1 408355360  16016
19571 _spotlight        0.1 408242656   9392
19575 somaiyahsultani   0.0 408536624   4992
19577 root              0.0 408506032   2448
19805 somaiyahsultani   0.7 1585840896 120864
19807 somaiyahsultani   0.0 441604928   4528
19808 somaiyahsultani   0.3 441999216  44288
19809 somaiyahsultani   0.2 441883104  30160
19810 somaiyahsultani   0.0 409112896   6880
19811 somaiyahsultani   1.1 1595732592 178304
19819 somaiyahsultani   0.4 1585116976  70064
19844 somaiyahsultani   0.4 408993584  60752
19845 somaiyahsultani   0.1 408743232  18432
19869 somaiyahsultani   0.0 408695744   6464
19870 somaiyahsultani   0.0 409247536   4496
19916 somaiyahsultani   0.1 408283536  23200
19959 somaiyahsultani   0.2 1585153472  41872
19960 somaiyahsultani   0.5 1585151312  86576
19984 somaiyahsultani   0.1 409092032  12960
19993 somaiyahsultani   0.0 409176688   7120
20026 somaiyahsultani   0.4 514633664  60304
20028 somaiyahsultani   0.4 497725392  60768
20029 somaiyahsultani   0.0 409107776   4432
20410 somaiyahsultani   0.0 409098560   4448
20461 somaiyahsultani   0.5 500028240  85696
20462 somaiyahsultani   0.0 409379136   4096
20463 somaiyahsultani   0.0 408975680   4176
20498 somaiyahsultani   0.3 409853472  58496
20499 somaiyahsultani   0.0 408817984   4304
20757 somaiyahsultani   1.2 409105456 193168
20868 somaiyahsultani   0.0 408228080   4384
20989 somaiyahsultani   0.7 498477392 112336
20992 somaiyahsultani   0.0 408836416   3856
21908 somaiyahsultani   0.1 408288448  23952
21934 somaiyahsultani   0.0 408696128   3872
21947 somaiyahsultani   1.3 414612000 215008
21950 somaiyahsultani   0.0 408197184   3408
21951 somaiyahsultani   0.0 408987328   5792
22206 somaiyahsultani   0.0 408210000   6656
22207 somaiyahsultani   0.0 408215616   3424
22265 somaiyahsultani   0.0 408209584   7392
22305 somaiyahsultani   0.0 408198208   3488
22366 somaiyahsultani   0.1 408299520  20992
22394 somaiyahsultani   0.2 408452672  40864
22396 somaiyahsultani   0.1 408074896   9520
22398 somaiyahsultani   0.0 408959296   4464
22399 somaiyahsultani   0.4 408978944  65120
22400 somaiyahsultani   0.1 408741696  19072
22401 somaiyahsultani   0.0 408817984   5280
22429 somaiyahsultani   0.1 409369920  18480
22430 somaiyahsultani   0.0 408958272   4752
22502 _locationd        0.0 408211104   7040
22749 somaiyahsultani   7.6 516408688 1277248
24932 _netbios          0.0 408179136   5248
25077 somaiyahsultani   2.4 515500560 399664
25086 somaiyahsultani   1.1 410404512 179056
25104 somaiyahsultani   1.2 514986992 202384
25107 somaiyahsultani   0.0 409115968   8272
25147 somaiyahsultani   1.3 410057696 217024
25167 somaiyahsultani   0.0 408827200   4448
25180 somaiyahsultani   0.1 408264544  10288
25186 somaiyahsultani   0.1 408228384  15648
25276 somaiyahsultani   1.5 514729536 244736
25304 somaiyahsultani   1.4 498023520 241184
25305 somaiyahsultani   0.2 513967600  34992
25958 somaiyahsultani   0.3 408328672  44896
26295 somaiyahsultani   0.1 408252800  14160
26297 somaiyahsultani   0.1 408240816  21648
26308 somaiyahsultani   0.1 408215776  16112
26309 somaiyahsultani   0.1 408232160  16192
26310 somaiyahsultani   0.1 408222944  16096
25148 root              0.0 408656720   4880
25149 somaiyahsultani   0.0 408692224   4176
26289 somaiyahsultani   0.0 408637952   2688
26311 somaiyahsultani   0.0 408627440   1712
26312 root              0.0 408626864   2048

------------------------------Top Memory Usage By Process-------------------------------------



--------------------------------- Top Memory Usage By VM --------------------------------------


-------------------------------------Top Memory by User----------------------------------------



Report Generated on: *05 ноября 2023 (воскресенье)*

-----------------------------------Memory Audit Script----------------------------------------

---------------------------General and Virtual Memory Overview -------------------------------


Memory Overview:
------------------------------------Memory Usage----------------------------------------------

  PID USER             %MEM      VSZ    RSS
    1 root              0.2 409087808  25696
  297 root              0.3 408414368  42928
  299 root              0.0 408266560   7936
  301 root              0.0 408053824   1056
  302 root              0.0 408383264   7184
  303 root              0.1 408278048  16064
  306 root              0.0 408276272   7616
  308 root              0.1 408268544   9424
  309 root              0.0 408047152    544
  310 root              0.0 408265840   7472
  311 _biome            0.0 408264512   4944
  313 root              0.0 408265072   3632
  315 root              0.0 408264096   1264
  320 root              0.0 408070256   1136
  324 root              0.2 408578720  31600
  325 _iconservices     0.0 408264352   3136
  326 root              0.0 408271600   5648
  327 root              0.0 408263888   3184
  330 root              0.1 408285808  21168
  331 root              0.0 408234672   1488
  334 root              0.0 408263760   2032
  335 root              0.1 408295376  14960
  336 root              0.1 408352656  11248
  337 root              0.1 408269808  13648
  338 _timed            0.0 408264448   4336
  339 _usbmuxd          0.0 408270928   2416
  340 root              0.0 408268832   6464
  341 root              0.0 408068560    368
  343 _locationd        0.1 408308080  19616
  345 root              0.0 408179744      0
  346 root              0.1 408293888  20880
  348 _distnote         0.0 408168944   2288
  349 root              0.0 408103040   1488
  350 root              0.2 408281344  26656
  352 root              0.0 408102464   3504
  353 root              0.0 408273072   7584
  354 root              0.0 408077360      0
  355 root              0.0 408823744   5648
  358 root              0.0 408233744   2848
  360 root              0.0 408265104   6928
  361 root              0.1 408266288  18976
  363 root              0.0 408200944    752
  364 root              0.1 408294352  20256
  365 _windowserver     1.2 412701488 197568
  368 root              0.1 408273744  11792
  370 somaiyahsultani   0.3 409953968  50432
  371 root              0.1 408273792  10496
  372 root              0.1 408287216  13680
  373 root              0.0 408178336   2624
  374 root              0.0 408266512   5696
  375 root              0.0 408257648   2576
  385 root              0.1 408277328  13408
  391 _analyticsd       0.1 408274704  10448
  393 root              0.1 408284256  24048
  415 _coreaudiod       0.5 409373984  83168
  426 _nsurlsessiond    0.1 408307472   9136
  427 root              0.0 408233696   2736
  428 root              0.0 408263936   4752
  431 root              0.1 408280048  17632
  432 _networkd         0.1 408277216  10944
  435 root              0.0 408263216   4272
  436 root              0.0 408168944    704
  440 _windowserver     0.0 408168944    704
  442 root              0.0 408264864   6864
  450 _coreaudiod       0.0 408168944    704
  451 _mdnsresponder    0.1 408354000  13168
  457 root              0.0 408264432   1776
  458 root              0.0 408264528   1968
  461 _cmiodalassistants  0.0 408168944    704
  462 _softwareupdate   0.1 412769680  22224
  464 root              0.0 408266320   4112
  465 root              0.0 408234000   3104
  467 _softwareupdate   0.0 408168944    704
  470 root              0.4 411810272  67104
  475 _spotlight        0.0 408168944    704
  487 _cmiodalassistants  0.0 408281856   8064
  488 root              0.0 408267216   7328
  489 _cmiodalassistants  0.0 408266384   4944
  490 root              0.0 408227456   1504
  494 root              0.0 408824192   2560
  496 root              0.1 408204528   9360
  500 root              0.2 408373648  29488
  501 root              0.5 408347168  83264
  503 root              0.0 408275840   3296
  506 _locationd        0.1 408307808   9968
  507 _locationd        0.0 408168944   1008
  514 root              0.0 408264176   4672
  516 _driverkit        0.0 408496816    464
  517 _driverkit        0.0 408530032   1728
  518 _appleevents      0.0 408264976   4576
  524 root              0.1 408272032  10848
  555 _nsurlsessiond    0.0 408168944    704
  561 root              0.0 408264608   5664
  566 root              0.0 408265392   5360
  567 root              0.0 408265312   7920
  568 _mysql            0.0 409758848   4096
  569 somaiyahsultani   0.0 408170992   4960
  571 root              0.0 408225904    400
  573 somaiyahsultani   0.0 408268784   8016
  577 somaiyahsultani   0.1 409658160  17840
  578 somaiyahsultani   0.2 408291888  25936
  579 somaiyahsultani   0.1 409793312  21664
  580 somaiyahsultani   0.1 408295984   9856
  581 root              0.0 408269920   6960
  582 somaiyahsultani   0.2 410178016  39744
  583 somaiyahsultani   0.1 408274464   9840
  584 somaiyahsultani   0.4 409919184  63168
  585 somaiyahsultani   0.1 409865168  18544
  586 somaiyahsultani   0.5 414499360  75824
  587 somaiyahsultani   0.0 408264384   5424
  590 somaiyahsultani   0.0 408263328   7840
  591 somaiyahsultani   0.1 408514192  16576
  592 somaiyahsultani   0.1 408266384  12192
  593 root              0.0 408271808   5696
  594 somaiyahsultani   0.0 408102944   2384
  595 somaiyahsultani   0.1 408276736  10704
  596 somaiyahsultani   0.1 408762272   9312
  597 somaiyahsultani   0.0 408270736   7712
  599 somaiyahsultani   0.1 408306560  14448
  600 somaiyahsultani   0.0 408265088   4320
  601 somaiyahsultani   0.0 408266832   6800
  602 root              0.1 408286896  13296
  603 somaiyahsultani   0.1 408266928  10672
  604 somaiyahsultani   0.1 408306800  19792
  605 somaiyahsultani   0.1 408283296  20832
  606 somaiyahsultani   0.0 408263776   5152
  607 somaiyahsultani   0.1 408276144  14288
  608 somaiyahsultani   0.1 408288128  13872
  609 somaiyahsultani   0.1 408321408  24896
  610 somaiyahsultani   0.2 408518144  28400
  612 somaiyahsultani   0.0 408242208   6624
  613 somaiyahsultani   0.0 408233536   4992
  614 _appleevents      0.0 408168944    704
  615 root              0.1 408242096   9760
  616 somaiyahsultani   0.1 408422240  13984
  617 somaiyahsultani   0.2 408308272  29968
  618 somaiyahsultani   0.1 408283408  21136
  619 somaiyahsultani   0.1 408273040  11024
  620 somaiyahsultani   0.1 408389792  10016
  621 somaiyahsultani   0.1 408418064  21280
  622 somaiyahsultani   0.0 408219072   8288
  623 somaiyahsultani   0.2 408290048  30912
  624 somaiyahsultani   0.1 408664608   9584
  625 somaiyahsultani   0.1 408285776  10736
  626 somaiyahsultani   0.2 408307872  27920
  627 somaiyahsultani   0.2 408374576  32896
  629 somaiyahsultani   0.1 408273600  12608
  630 somaiyahsultani   0.1 408304224  23056
  631 somaiyahsultani   0.2 408437792  28464
  632 root              0.0 408095984    112
  633 somaiyahsultani   0.0 408266608   7920
  634 somaiyahsultani   0.1 408285216  12768
  635 somaiyahsultani   0.0 408272256   2960
  638 somaiyahsultani   0.1 408266928   8608
  639 somaiyahsultani   0.0 409183456   6640
  640 somaiyahsultani   0.3 409884576  47360
  642 somaiyahsultani   0.1 408314752  12912
  643 somaiyahsultani   0.1 408479792  17328
  644 somaiyahsultani   0.0 408265216   8320
  645 somaiyahsultani   0.0 408287488   1184
  646 somaiyahsultani   0.1 408292240  18160
  647 somaiyahsultani   0.1 408276704  10928
  648 somaiyahsultani   0.2 408313344  39840
  649 somaiyahsultani   0.1 408221008  12640
  652 somaiyahsultani   0.0 408267424   7808
  654 somaiyahsultani   0.1 409766928  10752
  656 somaiyahsultani   0.0 408264064   2304
  657 somaiyahsultani   0.0 408268512   2368
  659 somaiyahsultani   0.2 408346736  33488
  660 somaiyahsultani   0.1 409697456  22352
  661 somaiyahsultani   0.1 408268416  12176
  662 somaiyahsultani   0.1 408270144  20272
  663 somaiyahsultani   0.0 408211520   6640
  665 somaiyahsultani   0.1 409865520  17056
  667 somaiyahsultani   0.1 408266784   8928
  669 root              0.0 408233584   2272
  670 somaiyahsultani   0.1 408270416  16304
  671 somaiyahsultani   0.6 408641056  99216
  672 somaiyahsultani   0.0 408279568   6240
  673 somaiyahsultani   0.1 408825008  23360
  675 somaiyahsultani   0.0 408233616   2576
  677 somaiyahsultani   0.1 408317120  13760
  678 somaiyahsultani   0.1 408799200  20384
  679 somaiyahsultani   0.0 408272336   5664
  680 somaiyahsultani   0.0 408264304   3648
  681 somaiyahsultani   0.0 408103632   3104
  682 somaiyahsultani   0.0 408263872   5248
  684 _oahd             0.0 408508672    768
  685 somaiyahsultani   0.0 408273104   5728
  686 somaiyahsultani   0.0 408265424   8208
  688 _nearbyd          0.0 408272304   7232
  689 somaiyahsultani   0.1 409837056  13088
  690 somaiyahsultani   0.1 408275152  11936
  691 somaiyahsultani   1.2 411821296 203232
  693 somaiyahsultani   0.1 408292128  10048
  695 _fpsd             0.0 408104912   3328
  696 somaiyahsultani   0.0 408242464   7392
  697 somaiyahsultani   0.6 409586816 107968
  699 somaiyahsultani   0.1 408355984  17920
  702 somaiyahsultani   0.1 408421456  11600
  704 somaiyahsultani   0.1 408390736  13904
  705 somaiyahsultani   0.1 408275200  10096
  708 somaiyahsultani   0.1 408322528  14320
  709 somaiyahsultani   0.1 408305872  12640
  711 somaiyahsultani   0.1 408273424  10640
  713 somaiyahsultani   0.1 412747248  17472
  715 somaiyahsultani   0.1 409766624  10224
  717 root              0.1 408281760   8560
  718 somaiyahsultani   0.0 408263728   6304
  719 somaiyahsultani   0.0 408102384   2128
  720 somaiyahsultani   0.1 408275392  13792
  721 somaiyahsultani   0.1 409642992  17616
  722 somaiyahsultani   0.1 408271728   9152
  723 somaiyahsultani   0.2 408438768  31152
  724 root              0.0 408263728   2992
  725 somaiyahsultani   0.2 408524272  32928
  726 somaiyahsultani   0.3 408353200  45888
  727 somaiyahsultani   0.2 408345040  31920
  728 somaiyahsultani   0.1 408312816  20288
  730 somaiyahsultani   0.1 408341632  24096
  734 somaiyahsultani   0.1 408275520  11872
  735 somaiyahsultani   0.1 409657152  12240
  736 somaiyahsultani   0.0 408264784   5120
  737 somaiyahsultani   0.1 408283968   9200
  739 somaiyahsultani   0.0 408233856   2240
  740 somaiyahsultani   0.0 408265248   6144
  741 somaiyahsultani   0.0 408263728   4832
  743 somaiyahsultani   0.0 408264672   6704
  744 root              0.1 408280912   8624
  746 somaiyahsultani   1.7 410106688 284560
  748 somaiyahsultani   0.1 408301584  15008
  749 root              0.0 408208528    320
  750 somaiyahsultani   0.0 408234048   2304
  753 somaiyahsultani   0.1 408430976  11824
  754 somaiyahsultani   0.1 408296496  17008
  759 somaiyahsultani   0.1 409661328   9408
  762 somaiyahsultani   0.0 408263808   1952
  763 somaiyahsultani   0.0 408268496   6688
  765 root              0.0 408264288   5328
  768 root              0.0 408265456   4096
  772 somaiyahsultani   0.1 408272784   8720
  778 root              0.0 408592720   1152
  779 _gamecontrollerd  0.0 408168944    704
  781 somaiyahsultani   0.1 408281968  13904
  782 root              0.0 408102960   2464
  784 somaiyahsultani   0.1 412715536  24384
  785 somaiyahsultani   0.0 408263856   3632
  786 root              0.0 408434368   5344
  787 somaiyahsultani   0.2 408387184  36416
  788 somaiyahsultani   0.2 408399840  29024
  789 somaiyahsultani   0.0 408235072   2048
  791 root              0.0 408264224   5120
  792 root              0.0 408265456   4448
  793 _applepay         0.0 408168944    704
  796 somaiyahsultani   0.0 408265120   4192
  802 somaiyahsultani   0.0 408257008   5760
  805 somaiyahsultani   0.0 408267856   4816
  810 somaiyahsultani   0.1 408409360  15824
  811 somaiyahsultani   0.0 408268832   8096
  812 somaiyahsultani   0.0 408234224   3184
  814 somaiyahsultani   0.0 408264672   4976
  815 somaiyahsultani   0.0 408271120   6272
  817 somaiyahsultani   0.1 408279840  17472
  818 somaiyahsultani   0.0 408583888   6368
  821 somaiyahsultani   0.0 408132560   3568
  823 _accessoryupdater  0.0 408168944    704
  831 somaiyahsultani   0.0 408233440   1888
  832 _softwareupdate   0.1 412919488   9504
  833 somaiyahsultani   0.1 409698720  14272
  840 somaiyahsultani   0.1 412926432  16624
  847 root              0.0 409641264   1472
  852 somaiyahsultani   0.1 408267520   9216
  854 somaiyahsultani   0.1 408274288   9248
  855 somaiyahsultani   0.0 408217328   6496
  858 _fpsd             0.0 408207120   6160
  859 root              0.0 408084192   1584
  860 root              0.0 408211888   6832
  862 _assetcache       0.0 408168944    704
  866 somaiyahsultani   0.1 409659376   9072
  871 somaiyahsultani   0.0 408572848   7216
  872 somaiyahsultani   0.1 408277536  10624
  873 somaiyahsultani   0.1 408274912  10496
  874 somaiyahsultani   0.1 408323296  17008
  876 somaiyahsultani   0.2 408304336  28944
  877 somaiyahsultani   0.0 408268208   6640
  886 somaiyahsultani   0.0 408267136   4592
  905 root              0.0 408047712    768
  908 somaiyahsultani   0.1 412833296   8912
  913 somaiyahsultani   0.1 408230384  13280
  914 root              0.0 408178176   2080
  917 somaiyahsultani   0.0 408265344   8352
  933 _spotlight        0.0 408222496   3728
  951 somaiyahsultani   0.1 408510096  21200
  953 somaiyahsultani   0.1 408271104  12896
  960 somaiyahsultani   0.1 409693520  12464
  962 somaiyahsultani   0.0 409384560   2704
  964 somaiyahsultani   0.1 408285760  20480
  966 somaiyahsultani   0.0 408234080   4816
  969 _rmd              0.0 408168944    704
  978 root              0.0 408208832   2528
  979 somaiyahsultani   0.2 408342064  37824
  982 somaiyahsultani   0.0 408272352   6192
  985 somaiyahsultani   0.0 408255936   2688
 1008 somaiyahsultani   0.0 408209120   4944
 1016 _fpsd             0.2 408307664  25424
 1019 somaiyahsultani   0.3 413790048  43792
 1047 root              0.0 408075344   1072
 1141 root              0.1 408293456  16400
 1174 somaiyahsultani   0.0 408209456   3520
 1207 somaiyahsultani   0.1 408357616  16816
 1424 somaiyahsultani   0.1 408322048  13136
 1711 somaiyahsultani   0.1 409345120  13520
 1959 somaiyahsultani   0.0 408264704   6848
 1988 root              0.0 408269440   3616
 1989 _accessoryupdater  0.0 408267792   4816
 1990 _accessoryupdater  0.0 408802528   3856
 1991 somaiyahsultani   0.1 408343280  21088
 2000 root              0.0 408103136   2832
 2035 somaiyahsultani   0.0 408283360   4528
 2036 somaiyahsultani   0.0 408107984   1920
 2041 somaiyahsultani   0.1 412786752  11856
 2166 somaiyahsultani   0.0 408207536   1248
 2181 _accessoryupdater  0.0 408263488   4048
 2190 somaiyahsultani   0.0 408283440   5360
 2191 somaiyahsultani   0.1 408321328  10416
 2210 root              0.0 408255616    976
 2312 somaiyahsultani   0.0 408273088   5840
 2446 somaiyahsultani   0.1 408310192   8624
 3523 somaiyahsultani   0.1 408281952   9232
 3546 somaiyahsultani   0.1 408309312  15760
 3835 somaiyahsultani   0.0 408263520   2592
 3896 somaiyahsultani   0.0 408086656   1408
 3904 somaiyahsultani   0.0 408266720   2880
 3905 somaiyahsultani   0.0 408264432   2720
 3941 somaiyahsultani   0.0 408210816   3808
 3961 _spotlight        0.0 408207840    736
 3964 root              0.0 408264272   2720
 3965 root              0.0 408265568   1072
 4096 root              0.0 408233696   3024
 4097 root              0.0 408102944   1360
 4098 root              0.0 408233456   1984
 4099 somaiyahsultani   0.0 408266864   4160
 4100 somaiyahsultani   0.0 408086560    992
 4105 root              0.0 408268544   2896
 4117 somaiyahsultani   0.0 408264368   1232
 4136 _hidd             0.0 408102400   1824
 4142 root              0.0 408102976   2032
 4145 somaiyahsultani   0.0 408132496   1408
 4156 somaiyahsultani   0.0 408280240   8256
 4177 _applepay         0.0 408269968   5792
 4178 _assetcache       0.0 408265872   2640
 4179 root              0.0 408213120    896
 4193 root              0.0 408233728   1408
 4194 somaiyahsultani   0.1 408300864  11536
 4220 somaiyahsultani   0.0 408261312   8048
 4223 root              0.0 408047056      0
 4281 somaiyahsultani   0.0 408216080   1904
 4293 root              0.0 408667552   2304
 4302 somaiyahsultani   0.0 408233552   4240
 4326 root              0.0 408059024   2032
 4339 root              0.0 408286528   8240
 4340 root              0.0 408193328   1792
 4341 root              0.0 408184544   1472
 4403 root              0.0 408052880    816
 4441 somaiyahsultani   0.0 408229360   5840
 4500 somaiyahsultani   0.0 408094768   3024
 4507 somaiyahsultani   0.0 408078544   1056
 4823 root              0.0 408248976   1232
 4824 somaiyahsultani   0.0 408845040   1584
 4946 root              0.0 408267984   3200
 4947 root              0.0 408213504   2112
 4970 root              0.0 409115952    976
 5023 somaiyahsultani   0.0 408237808    912
 5276 somaiyahsultani   0.0 408264480   3264
 5307 root              0.0 408234048    720
 5312 somaiyahsultani   0.0 409196240   5280
 5313 somaiyahsultani   0.0 408271104   2560
 5317 root              0.0 408047264    976
 5319 somaiyahsultani   0.0 408830624   2080
 5332 root              0.0 408047952    736
 5334 root              0.0 408199552    592
 5375 root              0.0 409219968   3344
 5378 somaiyahsultani   0.0 408267472   6128
 5379 _accessoryupdater  0.0 408208608   1680
 5380 root              0.0 408264704   3584
 5381 somaiyahsultani   0.0 408091904   2128
 5383 somaiyahsultani   0.0 408230960   3152
 5384 _rmd              0.0 408211168   1264
 5385 root              0.0 408039456    208
 5386 somaiyahsultani   0.0 408229600   4000
 5387 somaiyahsultani   0.0 408211184   1408
 5417 _rmd              0.0 408637552      0
 5420 somaiyahsultani   0.0 408637552      0
 5441 somaiyahsultani   0.0 408768624      0
 5442 _rmd              0.0 408768624      0
 5455 _rmd              0.0 408637552      0
 5456 somaiyahsultani   0.0 408637552      0
 5474 _rmd              0.0 408637744      0
 5475 somaiyahsultani   0.0 408693040   2096
 5476 _rmd              0.0 408667312   1008
 5477 somaiyahsultani   0.0 408667328   1024
 5479 root              0.0 408265232   2576
 5494 somaiyahsultani   0.0 408198224   1088
 5495 somaiyahsultani   0.0 408133904   4480
 5496 somaiyahsultani   0.0 409218976   5616
 5497 somaiyahsultani   0.0 408245520   6224
 5499 root              0.0 408217664   1456
 5500 _accessoryupdater  0.0 408263632   2592
 5501 _accessoryupdater  0.0 408212544   2240
 5516 somaiyahsultani   0.0 408243808   8192
 5517 root              0.0 408048352   1792
 5518 _gamecontrollerd  0.0 408266048   5008
 5519 _gamecontrollerd  0.0 408799216   3152
 5520 somaiyahsultani   0.0 408234064   1264
 5527 _softwareupdate   0.0 408211232   2656
 5528 root              0.0 408079024    992
 5529 root              0.0 408077408   1344
 5534 somaiyahsultani   0.0 408047088   1648
 5537 root              0.0 408211728    224
 5539 _softwareupdate   0.0 408225856   1104
 5545 root              0.0 408178160   1120
 5546 root              0.0 408039456    192
 5566 root              0.0 408047648    208
 5599 _datadetectors    0.0 408178160   1744
 5965 root              0.1 408266128   8912
 6217 _applepay         0.0 408246048   7152
 6525 root              0.0 408215472   2768
 6599 somaiyahsultani   0.0 408398976   3952
 6688 _captiveagent     0.0 408264640   2352
 7031 _softwareupdate   0.0 408505552      0
 7035 _assetcache       0.0 408260880   4336
 7036 _nsurlsessiond    0.0 408826960   3328
 7040 _softwareupdate   0.0 408215936   3552
 7041 root              0.0 408801728   3808
 7168 root              0.0 408206960   2272
 7263 somaiyahsultani   0.0 408066624   2208
 7679 somaiyahsultani   0.1 412729424   8528
 7714 somaiyahsultani   0.1 408282768   8512
 7715 somaiyahsultani   0.0 408966464   1040
 7717 somaiyahsultani   0.1 408325808  10912
 7718 somaiyahsultani   0.0 408827200   1056
 7786 somaiyahsultani   0.0 408233680   7376
 7793 somaiyahsultani   0.0 408178784   2064
 8019 root              0.0 408086560   1040
 8068 somaiyahsultani   0.0 408409872   1232
 8388 somaiyahsultani   0.1 408277712  10000
 8440 somaiyahsultani   0.0 409249360   1568
 8469 somaiyahsultani   0.0 408506832    336
 8592 root              0.0 408207440    768
 8752 _accessoryupdater  0.0 408077520    944
 8867 somaiyahsultani   0.0 408254832   3808
 9090 somaiyahsultani   0.0 408233584   3456
 9093 somaiyahsultani   1.7 415794256 281312
 9095 somaiyahsultani   1.4 413964688 227024
 9096 somaiyahsultani   0.0 408234048      0
 9097 somaiyahsultani   0.0 408897584   6144
 9098 somaiyahsultani   0.1 408945808  20128
 9101 somaiyahsultani   0.3 409013760  50080
 9103 somaiyahsultani   0.1 408884288  19152
 9112 somaiyahsultani   0.0 408274016   4112
 9123 somaiyahsultani   0.0 408246000    848
 9132 somaiyahsultani   0.0 408265008   5920
 9141 somaiyahsultani   0.1 408322912  15568
 9236 somaiyahsultani   0.0 408264432   2864
 9269 somaiyahsultani   0.9 414591616 144384
 9271 somaiyahsultani   0.0 408188992      0
 9275 somaiyahsultani   0.1 409170144   9888
 9592 root              0.0 408239488   2096
11446 somaiyahsultani   0.1 409690416   9440
12033 _nsurlsessiond    0.0 408234128   1424
12452 root              0.0 408066080      0
12477 root              0.0 408234112   4144
12478 somaiyahsultani   0.0 408235168   4208
12557 somaiyahsultani   0.0 408208448      0
13179 somaiyahsultani   1.4 415357296 227968
13181 somaiyahsultani   0.2 497853008  29424
13182 somaiyahsultani   0.0 408217664      0
13184 somaiyahsultani   0.0 412690704   5984
13188 somaiyahsultani   0.2 514854720  38096
13211 somaiyahsultani   0.0 408844608    960
13212 somaiyahsultani   0.0 408938000      0
13215 somaiyahsultani   0.0 409247040   1056
13216 somaiyahsultani   0.0 409115968    976
13217 somaiyahsultani   0.0 408224832      0
13218 somaiyahsultani   0.0 408206400      0
13738 somaiyahsultani   0.2 408983264  39920
13739 somaiyahsultani   0.1 408741712   8592
14015 somaiyahsultani   0.0 408227568    832
14421 root              0.0 408247024    432
14458 somaiyahsultani   0.0 408975680   1024
14463 somaiyahsultani   0.0 408075392    624
15416 somaiyahsultani   1.3 414076016 214560
15431 somaiyahsultani   0.0 408680064      0
15432 somaiyahsultani   0.0 409082176      0
15433 somaiyahsultani   0.0 408679024      0
15440 somaiyahsultani   0.0 408338496      0
15453 somaiyahsultani   0.1 408941968  18992
15454 somaiyahsultani   0.1 408741712   8608
15465 somaiyahsultani   0.0 409247040   1936
15470 somaiyahsultani   0.0 408851968   1472
15546 somaiyahsultani   0.1 408272784   9840
15677 root              0.0 408268400   4096
16891 somaiyahsultani   0.0 408237808    944
16931 somaiyahsultani   0.0 409097536   1024
17123 somaiyahsultani   0.4 410071104  63808
17124 somaiyahsultani   0.1 408915792  17376
17125 somaiyahsultani   0.0 408741696   8320
17176 somaiyahsultani   0.0 408636656      0
17183 somaiyahsultani   0.0 408496576      0
17193 somaiyahsultani   0.0 408636656      0
17199 somaiyahsultani   0.0 408505792      0
17201 somaiyahsultani   0.0 408646896      0
17207 somaiyahsultani   0.0 408505792      0
17209 somaiyahsultani   0.0 408655088      0
17211 somaiyahsultani   0.0 408507840      0
17219 somaiyahsultani   0.0 408644848      0
17225 somaiyahsultani   0.0 408508864      0
17227 somaiyahsultani   0.0 408636656      0
17233 somaiyahsultani   0.0 408507840      0
17235 somaiyahsultani   0.0 408645872      0
17237 somaiyahsultani   0.0 408506816      0
17247 somaiyahsultani   0.0 408645872      0
17253 somaiyahsultani   0.0 408498624      0
17255 somaiyahsultani   0.0 408637680      0
17261 somaiyahsultani   0.0 408517056      0
17263 somaiyahsultani   0.0 408636656      0
17265 somaiyahsultani   0.0 408506816      0
17273 somaiyahsultani   0.0 408627440      0
17278 somaiyahsultani   0.0 408506816      0
17365 somaiyahsultani   0.0 408636656      0
17370 somaiyahsultani   0.0 408506816      0
17378 somaiyahsultani   0.0 408645872      0
17384 somaiyahsultani   0.0 408516032      0
17386 somaiyahsultani   0.0 408644848      0
17392 somaiyahsultani   0.0 408515008      0
17394 somaiyahsultani   0.0 408646896      0
17396 somaiyahsultani   0.0 408515008      0
17481 somaiyahsultani   0.0 408637680      0
17487 somaiyahsultani   0.0 408507840      0
17489 somaiyahsultani   0.0 408637680      0
17495 somaiyahsultani   0.0 408523200      0
17497 somaiyahsultani   0.0 408637680      0
17499 somaiyahsultani   0.0 408506816      0
17515 somaiyahsultani   0.0 408656112      0
17516 somaiyahsultani   0.0 408645872      0
17517 somaiyahsultani   0.0 408637680      0
17520 somaiyahsultani   0.0 408506816      0
17521 somaiyahsultani   0.0 408505792      0
17525 somaiyahsultani   0.0 408505792      0
17537 somaiyahsultani   0.0 408628464      0
17538 somaiyahsultani   0.0 408636656      0
17544 somaiyahsultani   0.0 408507840      0
17547 somaiyahsultani   0.0 408525248      0
17549 somaiyahsultani   0.0 408639728      0
17551 somaiyahsultani   0.0 408505792      0
17559 somaiyahsultani   0.0 408636656      0
17565 somaiyahsultani   0.0 408507840      0
17567 somaiyahsultani   0.0 408646896      0
17573 somaiyahsultani   0.0 408506816      0
17575 somaiyahsultani   0.0 408646896      0
17577 somaiyahsultani   0.0 408513984      0
17584 somaiyahsultani   0.0 408645872      0
17588 somaiyahsultani   0.0 408636656      0
17592 somaiyahsultani   0.0 408636656      0
17606 somaiyahsultani   0.0 408506816      0
