Report Generated on: *01 ноября 2023 (среда)*

-----------------------------------Memory Audit Script----------------------------------------

---------------------------General and Virtual Memory Overview -------------------------------


Memory Overview:
------------------------------------Memory Usage----------------------------------------------

  PID USER             %MEM      VSZ    RSS
  840 somaiyahsultani   0.1 412918560  13648
  847 root              0.1 409641264  11136
  852 somaiyahsultani   0.1 408267520  10320
  854 somaiyahsultani   0.1 408274288   8992
  855 somaiyahsultani   0.0 408217328   6880
  858 _fpsd             0.0 408207120   5200
  859 root              0.0 408084192   1808
  860 root              0.0 408213008   7056
  862 _assetcache       0.0 408168944    704
  866 somaiyahsultani   0.0 409659376   7216
  871 somaiyahsultani   0.1 408564976   9312
  872 somaiyahsultani   0.1 408277408  11808
  873 somaiyahsultani   0.1 408274912  16656
  874 somaiyahsultani   0.1 408321536  21504
  876 somaiyahsultani   0.2 408334160  36720
  877 somaiyahsultani   0.0 408268208   6880
  886 somaiyahsultani   0.0 408267136   6064
  905 root              0.0 408047712   1104
  908 somaiyahsultani   0.1 412833296   9792
  913 somaiyahsultani   0.1 408229344  13424
  914 root              0.0 408178176   2064
  917 somaiyahsultani   0.1 408265344   8832
  933 _spotlight        0.0 408222496   5840
  951 somaiyahsultani   0.1 408511216  22896
  953 somaiyahsultani   0.1 408271104  13040
  960 somaiyahsultani   0.1 409693808  14272
  962 somaiyahsultani   0.0 409324672   3056
  964 somaiyahsultani   0.2 408285760  25360
  966 somaiyahsultani   0.0 408234080   4880
  969 _rmd              0.0 408168944    704
  978 root              0.0 408208832   4256
  979 somaiyahsultani   0.2 408340016  38112
  982 somaiyahsultani   0.1 408272352  10464
  985 somaiyahsultani   0.0 408255936   3568
 1008 somaiyahsultani   0.0 408209120   7488
 1016 _fpsd             0.1 408307664  24432
 1019 somaiyahsultani   0.4 413780096  67312
 1047 root              0.0 408075344   1648
 1141 root              0.1 408293456  15904
 1174 somaiyahsultani   0.0 408209456   4880
 1207 somaiyahsultani   0.1 408357616  24768
 1424 somaiyahsultani   0.1 408316384  10608
 1711 somaiyahsultani   0.1 409345120  18288
 1959 somaiyahsultani   0.0 408264704   7392
 1988 root              0.0 408269440   4720
 1989 _accessoryupdater  0.0 408266768   5824
 1990 _accessoryupdater  0.0 408802528   3920
 1991 somaiyahsultani   0.1 408344400  21536
 2000 root              0.0 408103136   3200
 2035 somaiyahsultani   0.0 408283360   4688
 2036 somaiyahsultani   0.0 408107984   1904
 2041 somaiyahsultani   0.1 412786752  10848
 2166 somaiyahsultani   0.0 408207536   1456
 2181 _accessoryupdater  0.0 408263488   4016
 2190 somaiyahsultani   0.0 408283440   5376
 2191 somaiyahsultani   0.1 408321328   8928
 2210 root              0.0 408255616    992
 2312 somaiyahsultani   0.1 408273088  13344
 2446 somaiyahsultani   0.1 408310192  14688
 3523 somaiyahsultani   0.1 408281952   8544
